#Index	Parent	Parent_Call	Decision	Threshold
0	NA	NA	SVM_leu	0.5
1	0	T	SVM_ser	0.5
2	0	F	prediCAT_SNN_val	0.5
3	1	T	SVM_val	0.5
4	1	F	prediCAT_SNN_d-ser	0.5
5	3	T	SVM_ala	0.5
6	3	F	pHMM_d-val	0.5
7	5	T	SVM_gly	0.5
8	5	F	prediCAT_SNN_3oh-3me-pro	0.5
9	7	T	SVM_thr	0.5
10	7	F	pid	42.775
11	9	T	SVM_asn	0.5
12	9	F	prediCAT_SNN_dhab|dht	0.5
13	11	T	SVM_cys	0.5
14	11	F	pid	99.865
15	13	T	SVM_asp	0.5
16	13	F	pid	44.62
17	15	T	SVM_hpg	0.5
18	15	F	pid	39.865
19	17	T	SVM_pro	0.5
20	17	F	prediCAT_SNN_hpg	0.5
21	19	T	SVM_tyr	0.5
22	19	F	prediCAT_SNN_pro|me-pro	0.5
23	21	T	SVM_glu	0.5
24	21	F	pid	50.855
25	23	T	SVM_ile	0.5
26	23	F	pid	50.79
27	25	T	prediCAT_SNN_dpg	0.5
28	25	F	pid	69.33
29	27	T	prediCAT_SNN_orn	0.5
30	27	F	LEAF_NODE	NA
31	29	T	SVM_phe	0.5
32	29	F	LEAF_NODE	NA
33	31	T	SVM_trp	0.5
34	31	F	prediCAT_SNN_kyn	0.5
35	33	T	SVM_aad	0.5
36	33	F	prediCAT_SNN_trp	0.5
37	35	T	SVM_bht	0.5
38	35	F	pHMM_me-asp	0.5
39	37	T	prediCAT_SNN_dab	0.5
40	37	F	pid	95.045
41	39	T	SVM_gln	0.5
42	39	F	pid	92.375
43	41	T	prediCAT_SNN_lys	0.5
44	41	F	prediCAT_SNN_d-gln	0.5
45	43	T	SVM_arg	0.5
46	43	F	pHMM_ser	0.5
47	45	T	SVM_pip	0.5
48	45	F	pid	39.81
49	47	T	pHMM_dhb	0.5
50	47	F	prediCAT_MP_pip	0.5
51	49	T	pHMM_horn	0.5
52	49	F	LEAF_NODE	NA
53	51	T	SVM_iva	0.5
54	51	F	pid	61.72
55	53	T	prediCAT_SNN_val	0.5
56	53	F	pid	60.74
57	55	T	SVM_lys	0.5
58	55	F	prediCAT_MP_no_call	0.5
59	57	T	pHMM_orn	0.5
60	57	F	pid	39.455
61	59	T	pHMM_me-asp	0.5
62	59	F	SVM_no_call	0.5
63	61	T	prediCAT_SNN_phe-ac	0.5
64	61	F	LEAF_NODE	NA
65	63	T	prediCAT_SNN_ala	0.5
66	63	F	LEAF_NODE	NA
67	65	T	prediCAT_SNN_pro	0.5
68	65	F	pid	86.205
69	67	T	pHMM_cys	0.5
70	67	F	LEAF_NODE	NA
71	69	T	pHMM_dhb|sal	0.5
72	69	F	pid	52.86
73	71	T	prediCAT_MP_4oh-pro	0.5
74	71	F	prediCAT_SNN_dhb|sal	0.5
75	73	T	prediCAT_MP_3oh-pro|3oh-4me-pro	0.5
76	73	F	LEAF_NODE	NA
77	75	T	prediCAT_MP_4oh-5oh-orn	0.5
78	75	F	LEAF_NODE	NA
79	77	T	LEAF_NODE	NA
80	77	F	LEAF_NODE	NA
81	74	T	pid	57.875
82	74	F	LEAF_NODE	NA
83	81	T	LEAF_NODE	NA
84	81	F	LEAF_NODE	NA
85	72	T	LEAF_NODE	NA
86	72	F	LEAF_NODE	NA
87	68	T	LEAF_NODE	NA
88	68	F	pid	98.46
89	88	T	LEAF_NODE	NA
90	88	F	LEAF_NODE	NA
91	62	T	LEAF_NODE	NA
92	62	F	pid	63.005
93	92	T	pid	54.505
94	92	F	LEAF_NODE	NA
95	93	T	pid	50.985
96	93	F	LEAF_NODE	NA
97	95	T	LEAF_NODE	NA
98	95	F	pid	52.42
99	98	T	LEAF_NODE	NA
100	98	F	LEAF_NODE	NA
101	60	T	LEAF_NODE	NA
102	60	F	pid	58.555
103	102	T	pid	47.115
104	102	F	LEAF_NODE	NA
105	103	T	LEAF_NODE	NA
106	103	F	pid	51.93
107	106	T	LEAF_NODE	NA
108	106	F	LEAF_NODE	NA
109	58	T	LEAF_NODE	NA
110	58	F	LEAF_NODE	NA
111	56	T	pid	58.32
112	56	F	pid	63.2
113	111	T	pid	57.68
114	111	F	pid	58.695
115	113	T	LEAF_NODE	NA
116	113	F	LEAF_NODE	NA
117	114	T	LEAF_NODE	NA
118	114	F	pid	58.84
119	118	T	LEAF_NODE	NA
120	118	F	pid	60.335
121	120	T	LEAF_NODE	NA
122	120	F	LEAF_NODE	NA
123	112	T	LEAF_NODE	NA
124	112	F	prediCAT_MP_no_call	0.5
125	124	T	LEAF_NODE	NA
126	124	F	LEAF_NODE	NA
127	54	T	LEAF_NODE	NA
128	54	F	pid	99.335
129	128	T	prediCAT_MP_horn	0.5
130	128	F	LEAF_NODE	NA
131	129	T	LEAF_NODE	NA
132	129	F	LEAF_NODE	NA
133	50	T	pHMM_ala	0.5
134	50	F	pid	94.01
135	133	T	LEAF_NODE	NA
136	133	F	LEAF_NODE	NA
137	134	T	LEAF_NODE	NA
138	134	F	LEAF_NODE	NA
139	48	T	LEAF_NODE	NA
140	48	F	LEAF_NODE	NA
141	44	T	SVM_lys	0.5
142	44	F	LEAF_NODE	NA
143	141	T	LEAF_NODE	NA
144	141	F	LEAF_NODE	NA
145	46	T	prediCAT_SNN_d-leu	0.5
146	46	F	pid	88.79
147	145	T	prediCAT_SNN_leu	0.5
148	145	F	LEAF_NODE	NA
149	147	T	pid	58.27
150	147	F	LEAF_NODE	NA
151	149	T	pid	57.045
152	149	F	pid	76.195
153	151	T	pid	54.07
154	151	F	pid	57.555
155	153	T	LEAF_NODE	NA
156	153	F	LEAF_NODE	NA
157	154	T	LEAF_NODE	NA
158	154	F	LEAF_NODE	NA
159	152	T	pHMM_gln	0.5
160	152	F	prediCAT_MP_gln	0.5
161	159	T	pid	67.38
162	159	F	LEAF_NODE	NA
163	161	T	LEAF_NODE	NA
164	161	F	LEAF_NODE	NA
165	160	T	LEAF_NODE	NA
166	160	F	LEAF_NODE	NA
167	146	T	LEAF_NODE	NA
168	146	F	LEAF_NODE	NA
169	40	T	pid	92.005
170	40	F	LEAF_NODE	NA
171	169	T	LEAF_NODE	NA
172	169	F	LEAF_NODE	NA
173	42	T	prediCAT_SNN_bht	0.5
174	42	F	LEAF_NODE	NA
175	173	T	LEAF_NODE	NA
176	173	F	LEAF_NODE	NA
177	38	T	pHMM_aad	0.5
178	38	F	LEAF_NODE	NA
179	177	T	pid	68.43
180	177	F	LEAF_NODE	NA
181	179	T	LEAF_NODE	NA
182	179	F	LEAF_NODE	NA
183	36	T	pid	83.01
184	36	F	LEAF_NODE	NA
185	183	T	pid	58.47
186	183	F	LEAF_NODE	NA
187	185	T	pid	53.675
188	185	F	LEAF_NODE	NA
189	187	T	pid	48.91
190	187	F	LEAF_NODE	NA
191	189	T	LEAF_NODE	NA
192	189	F	LEAF_NODE	NA
193	34	T	pHMM_gly	0.5
194	34	F	LEAF_NODE	NA
195	193	T	pid	60.43
196	193	F	LEAF_NODE	NA
197	195	T	pid	56.865
198	195	F	pid	91.94
199	197	T	pid	44.71
200	197	F	pHMM_trp	0.5
201	199	T	LEAF_NODE	NA
202	199	F	pHMM_phe	0.5
203	202	T	LEAF_NODE	NA
204	202	F	LEAF_NODE	NA
205	200	T	LEAF_NODE	NA
206	200	F	pid	59.94
207	206	T	LEAF_NODE	NA
208	206	F	LEAF_NODE	NA
209	198	T	LEAF_NODE	NA
210	198	F	prediCAT_MP_phe	0.5
211	210	T	LEAF_NODE	NA
212	210	F	LEAF_NODE	NA
213	28	T	pid	66.74
214	28	F	pid	95.555
215	213	T	pid	54.525
216	213	F	LEAF_NODE	NA
217	215	T	LEAF_NODE	NA
218	215	F	LEAF_NODE	NA
219	214	T	pid	80.3
220	214	F	prediCAT_MP_ile	0.5
221	219	T	pid	75.055
222	219	F	LEAF_NODE	NA
223	221	T	LEAF_NODE	NA
224	221	F	prediCAT_SNN_ile	0.5
225	224	T	LEAF_NODE	NA
226	224	F	LEAF_NODE	NA
227	220	T	LEAF_NODE	NA
228	220	F	LEAF_NODE	NA
229	24	T	pid	50.245
230	24	F	pid	99.44
231	229	T	LEAF_NODE	NA
232	229	F	LEAF_NODE	NA
233	26	T	pid	73.385
234	26	F	pHMM_asp	0.5
235	233	T	LEAF_NODE	NA
236	233	F	pid	82.77
237	236	T	LEAF_NODE	NA
238	236	F	LEAF_NODE	NA
239	234	T	LEAF_NODE	NA
240	234	F	LEAF_NODE	NA
241	230	T	pHMM_gly	0.5
242	230	F	prediCAT_SNN_tyr	0.5
243	241	T	pid	49.525
244	241	F	LEAF_NODE	NA
245	243	T	LEAF_NODE	NA
246	243	F	LEAF_NODE	NA
247	242	T	pid	91.94
248	242	F	LEAF_NODE	NA
249	247	T	pHMM_leu	0.5
250	247	F	LEAF_NODE	NA
251	249	T	pHMM_phe	0.5
252	249	F	LEAF_NODE	NA
253	251	T	pid	57.245
254	251	F	LEAF_NODE	NA
255	253	T	LEAF_NODE	NA
256	253	F	pid	71.865
257	256	T	LEAF_NODE	NA
258	256	F	LEAF_NODE	NA
