Accession,DB,Module,MIBiG Accession,Substrate Specificity,Start,End,Taxonomy,Verbose ID
ADL64235.1,GenBank,mod1,NA,val,433,904,Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus,ADL64235_433_mod1_val
ADL64235.1,GenBank,mod2,NA,phe,1458,1930,Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus,ADL64235_1458_mod2_phe
AEA30272.1,GenBank,mod1,NA,thr,474,976,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30272.1_474_mod1_thr
AEA30272.1,GenBank,mod2,NA,ala,1550,2034,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30272.1_1550_mod2_ala
AEA30272.1,GenBank,mod3,NA,asp|bme-asp,2611,3099,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30272.1_2611_mod3_asp|bme-asp
AEA30272.1,GenBank,mod4,NA,gly,3675,4166,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30272.1_3675_mod4_gly
AEA30273.1,GenBank,mod1,NA,boh-phe,471,962,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30273.1_471_mod1_boh-phe
AEA30273.1,GenBank,mod2,NA,pro,1527,2016,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30273.1_1527_mod2_pro
AEA30273.1,GenBank,mod3,NA,boh-ome-tyr,2593,3084,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30273.1_2593_mod3_boh-ome-tyr
AEA30273.1,GenBank,mod4,NA,d-trp,3652,4136,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30273.1_3652_mod4_d-trp
AEA30274.1,GenBank,mod1,NA,aoh-gly,484,966,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30274.1_484_mod1_aoh-gly
AEA30274.1,GenBank,mod2,NA,d-leu,1533,2015,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30274.1_1533_mod2_d-leu
AEA30274.1,GenBank,mod3,NA,boh-d-leu,3073,3558,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEA30274.1_3073_mod3_boh-d-leu
AEC14346.1,GenBank,mod1,NA,thr,19,507,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,AEC14346.1_19_mod1_thr
AEC14346.1,GenBank,mod2,NA,leu,1080,1551,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,AEC14346.1_1080_mod2_leu
AEC14347.1,GenBank,mod1,NA,phe,567,1035,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,AEC14347.1_567_mod1_phe
AEC14348.1,GenBank,mod1,NA,phe,1108,1590,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,AEC14348.1_1108_mod1_phe
AEC14349.1,GenBank,mod1,NA,val,24,498,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus,AEC14349.1_24_mod1_val
AEF33078.1,GenBank,mod1,NA,thr,463,955,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEF33078.1_463_mod1_thr
AEF33078.1,GenBank,mod2,NA,33p-l-ala,1540,2017,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AEF33078.1_1540_mod2_33p-l-ala
AEI70245.1,GenBank,mod1,NA,ala,445,933,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AEI70245.1_445_mod1_ala
AEI70245.1,GenBank,mod2,NA,thr,1510,2018,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AEI70245.1_1510_mod2_thr
AEU11003.1,GenBank,mod1,NA,pro,555,1055,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11003.1_555_mod1_pro
AEU11003.1,GenBank,mod2,NA,phe,1620,2106,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11003.1_1620_mod2_phe
AEU11003.1,GenBank,mod3,NA,aile,2671,3170,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11003.1_2671_mod3_aile
AEU11003.1,GenBank,mod4,NA,pro,4205,4694,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11003.1_4205_mod4_pro
AEU11006.1,GenBank,mod1,NA,gln,2653,3151,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11006.1_2653_mod1_gln
AEU11006.1,GenBank,mod2,NA,gly,4186,4678,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Nostoc,AEU11006.1_4186_mod2_gly
AFH75320.1,GenBank,mod1,BGC0000425,dhabu,474,973,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_474_mod1_dhabu
AFH75320.1,GenBank,mod2,BGC0000425,d-pro,1563,2067,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_1563_mod2_d-pro
AFH75320.1,GenBank,mod3,BGC0000425,d-ser,2651,3140,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_2651_mod3_d-ser
AFH75320.1,GenBank,mod4,BGC0000425,d-leu,3727,4203,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_3727_mod4_d-leu
AFH75320.1,GenBank,mod5,BGC0000425,d-val,4799,5272,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_4799_mod5_d-val
AFH75320.1,GenBank,mod6,BGC0000425,d-gln,5859,6338,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75320.1_5859_mod6_d-gln
AFH75321.1,GenBank,mod1,BGC0000425,d-gln,581,1057,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_581_mod1_d-gln
AFH75321.1,GenBank,mod2,BGC0000425,leu,1645,2127,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_1645_mod2_leu
AFH75321.1,GenBank,mod3,BGC0000425,d-val,2723,3196,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_2723_mod3_d-val
AFH75321.1,GenBank,mod4,BGC0000425,d-leu,3778,4259,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_3778_mod4_d-leu
AFH75321.1,GenBank,mod5,BGC0000425,d-val,4831,5308,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_4831_mod5_d-val
AFH75321.1,GenBank,mod6,BGC0000425,val,5900,6376,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75321.1_5900_mod6_val
AFH75322.1,GenBank,mod1,BGC0000425,dhabu,565,1065,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_565_mod1_dhabu
AFH75322.1,GenBank,mod2,BGC0000425,d-athr,1653,2152,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_1653_mod2_d-athr
AFH75322.1,GenBank,mod3,BGC0000425,ile,2740,3228,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_2740_mod3_ile
AFH75322.1,GenBank,mod4,BGC0000425,hse,3790,4272,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_3790_mod4_hse
AFH75322.1,GenBank,mod5,BGC0000425,dab,4831,5328,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_4831_mod5_dab
AFH75322.1,GenBank,mod6,BGC0000425,lys,5909,6407,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000425_AFH75322.1_5909_mod6_lys
AFH75328.1,GenBank,mod1,BGC0000398,leu,482,959,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75328.1_482_mod1_leu
AFH75328.1,GenBank,mod2,BGC0000398,glu,1544,2034,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75328.1_1544_mod2_glu
AFH75329.1,GenBank,mod1,BGC0000398,thr,566,1065,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75329.1_566_mod1_thr
AFH75329.1,GenBank,mod2,BGC0000398,val,1652,2143,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75329.1_1652_mod2_val
AFH75329.1,GenBank,mod3,BGC0000398,leu,2729,3207,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75329.1_2729_mod3_leu
AFH75329.1,GenBank,mod4,BGC0000398,ser,3793,4290,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75329.1_3793_mod4_ser
